,Unnamed: 0,Time,Mx,My,CoPx,CoPy
0,0,0.0,-0.109387666666666,-0.1306803333333367,0.0,0.0
1,1,0.06,-0.300969499999999,-0.1520836666666712,2.8583333333300002e-05,-0.00026311666666659994
2,2,0.12,-0.7777578333333327,0.0257778333333316,-0.0001800833333332356,-0.0009347166666666
3,3,0.18,-0.9827643333333326,-0.0179758333333353,-0.00012611666666657048,-0.0012141166666666
4,4,0.24,-1.5077789999999998,-0.0142373333333352,-0.00020963333333322534,-0.0019035999999999999
5,5,0.3,-1.8906173333333327,0.1653619999999975,-0.0003777333333332,-0.0024626166666666996
6,6,0.36,-2.6360048333333324,0.3268949999999977,-0.0006112666666665001,-0.0034833833333333
7,7,0.42,-3.3550145000000007,0.5116048333333306,-0.0008484666666665,-0.0044785333333333
8,8,0.48,-4.109371166666666,0.6653566666666642,-0.0010886833333332,-0.0055061
9,9,0.54,-4.995300499999999,0.7376773333333306,-0.0012017333333332,-0.0067205
10,10,0.6,-6.033324833333333,0.5266009999999969,-0.0009291333333332,-0.008143599999999999
11,11,0.66,-7.019021166666665,0.2720623333333322,-0.0005267166666665,-0.0095144333333333
12,12,0.72,-7.434635333333333,0.1131019999999971,-0.00023276666666656085,-0.0101060666666667
13,13,0.78,-7.532126666666666,-0.076608166666669,-8.686666666657213e-05,-0.0102098333333333
14,14,0.84,-7.323098,0.0190956666666625,-0.0002033833333332312,-0.0099261833333333
15,15,0.9,-6.961528166666665,0.2434953333333316,-0.0004662499999998,-0.0094413333333333
16,16,0.96,-6.762866333333331,0.369297999999999,-0.0006508166666665,-0.0091650666666666
17,17,1.02,-7.0423478333333325,0.4358611666666642,-0.0007864666666665,-0.0095373666666667
18,18,1.08,-7.6332093333333315,0.6000111666666635,-0.0009870999999998,-0.010357
19,19,1.14,-8.383974,0.8181983333333303,-0.0013040833333332,-0.0113856666666666
20,20,1.2,-9.11385,0.9641334999999984,-0.0014833999999998,-0.0123944
21,21,1.26,-9.582065833333331,1.1233728333333313,-0.0016670833333332,-0.0130457166666666
22,22,1.32,-9.867725833333331,1.2530896666666635,-0.0019260666666665,-0.0134225166666667
23,23,1.38,-9.801187166666669,1.4055091666666637,-0.0021546333333332,-0.013327283333333299
24,24,1.44,-9.591129166666668,1.6342283333333305,-0.0024046499999998,-0.0130510333333333
25,25,1.5,-9.291943166666664,1.7992993333333305,-0.0026150333333331997,-0.0126429666666667
26,26,1.56,-8.9307045,1.9499468333333316,-0.0028612833333331996,-0.0121378166666666
27,27,1.62,-8.790436333333332,1.907007833333328,-0.0027856999999998,-0.01194855
