,Time,Mx,My,CoPx,CoPy
0,0.0,-0.18280400000000102,0.05318016666666678,-0.00010239999999999013,-0.0002382666666666012
1,0.06,-0.3140833333333347,0.12690950000000012,-0.00023411666666665833,-0.00043626666666657664
2,0.12,-0.32425150000000097,0.22998633333333354,-0.00039979999999997833,-0.0005562666666665733
3,0.18,-0.5240571666666669,0.2870896666666668,-0.0005069499999999867,-0.0008415833333332418
4,0.24,-0.6689255000000013,0.3919530000000002,-0.0006910999999999748,-0.0010778333333332447
5,0.3,-0.8319511666666671,0.40305983333333345,-0.0007086666666666634,-0.0013744166666665879
6,0.36,-1.0761473333333345,0.3401693333333335,-0.0005985333333333216,-0.0018049333333332452
7,0.42,-1.2874035000000013,0.27777683333333353,-0.0004900166666666567,-0.002172783333333263
8,0.48,-1.386328416666667,0.2219498333333335,-0.0003900166666666185,-0.002367666666666594
9,0.54,-1.3779303166666677,0.1791023333333335,-0.0003126499999999884,-0.0023750833333332525
10,0.6,-1.5174823333333336,0.16657366666666676,-0.0003071666666666483,-0.00249744999999992
11,0.66,-1.473809150000001,0.10785500000000012,-0.00018804999999998833,-0.0025492833333332484
12,0.72,-1.5661971333333342,-0.03844099999999981,6.0249999999973235e-05,-0.00266689999999991
13,0.78,-1.423127333333334,-0.23482466666666654,0.00039749999999990666,-0.0023890666666665813
14,0.84,-1.1313708333333345,-0.3920253333333331,0.0006715833333332617,-0.0018917666666665718
15,0.9,-0.826168366666668,-0.4042793333333332,0.0006948999999999268,-0.00138016666666657
16,0.96,-0.7787188000000015,-0.40205549999999973,0.0006919666666665849,-0.0013067166666665762
17,1.02,-0.7799869666666678,-0.43983499999999986,0.0007559333333332683,-0.0012942999999999115
18,1.08,-0.7199816666666676,-0.5321024999999998,0.0009201666666666116,-0.0012279499999999113
19,1.14,-0.6117695166666676,-0.6029281666666664,0.0010352833333332782,-0.0009668333333332467
20,1.2,-0.38577038333333413,-0.6839631666666662,0.001174133333333277,-0.0005565499999999184
21,1.26,-0.036522333333334434,-0.6938164999999998,0.0012032833333332589,-6.806666666662339e-05
22,1.32,0.02762349999999929,-0.6021928333333332,0.00103638333333325,0.00012044999999999565
23,1.38,0.18351616666666584,-0.5485688333333331,0.0009458833333332666,0.0003671666666666467
24,1.44,0.3920033333333325,-0.47760633333333313,0.0008195833333332717,0.0007585666666666632
25,1.5,0.6533543333333321,-0.3858463333333331,0.0006615499999999302,0.0011998166666666566
26,1.56,0.9676363333333325,-0.29502066666666643,0.0005059333333332567,0.0017269999999999848
27,1.62,1.3240651666666656,-0.20130883333333313,0.0003435999999999483,0.0023426333333333286
28,1.68,1.5310144999999997,-0.09152133333333308,0.00015568333333326,0.002679083333333318
29,1.74,1.7947616666666657,0.05110050000000014,-9.831666666664346e-05,0.0031915833333333176
30,1.8,1.8489043333333324,0.16971250000000013,-0.0003122166666666333,0.0033519166666666567
31,1.86,1.6006366666666663,0.2676598333333336,-0.000464416666666645,0.0027762999999999976
32,1.92,1.1937839999999993,0.3887783333333335,-0.0006819499999999834,0.002127983333333328
33,1.98,0.9850651666666654,0.5231221666666669,-0.0009162333333333233,0.0017746499999999848
34,2.04,1.1932058333333326,0.5490363333333336,-0.0009613166666666582,0.0021360499999999896
35,2.1,1.4658013333333324,0.5041295000000001,-0.0008831833333333235,0.0026082999999999953
36,2.16,1.526477833333332,0.5485973333333334,-0.0009607166666666618,0.0027166166666666653
37,2.22,1.3871674999999988,0.6637385000000002,-0.0011591833333333232,0.002463399999999995
38,2.28,1.0492469999999992,0.7626208333333336,-0.0013296999999999697,0.0018704166666666548
39,2.34,0.7391474999999988,0.8254783333333335,-0.0014367833333333033,0.001317466666666653
40,2.4,0.4753816666666653,0.8721878333333334,-0.0015330999999999713,0.0009618333333333185
41,2.46,0.4969758333333326,0.849386666666667,-0.0014759333333333115,0.0008819166666666317
42,2.52,0.28299533333333254,0.8586440000000002,-0.0014936833333333015,0.00052269999999998
43,2.58,0.24987816666666562,0.7823653333333334,-0.0013658499999999768,0.0004947999999999833
44,2.64,0.3746216666666658,0.6494541666666669,-0.0011374333333333101,0.0007274166666666602
45,2.7,0.40808233333333244,0.5169285000000002,-0.0009063166666666432,0.0007795166666666517
46,2.76,0.30288783333333213,0.3828836666666668,-0.0006737499999999901,0.0005970999999999897
47,2.82,0.1576593333333325,0.3455503333333335,-0.00060878333333331,0.00034409999999997833
48,2.88,-0.011686833333333972,0.22262983333333347,-0.0003941499999999884,4.033333333333888e-05
49,2.94,-0.20813666666666783,0.0703430000000001,-0.0001276499999999801,-0.0003172499999999101
50,3.0,-0.20015650000000082,0.007238166666666839,-1.9483333333331833e-05,-0.0002925499999999149
51,3.06,-0.3656200000000009,-0.01799016666666649,1.3866666666666383e-05,-0.0004963666666665717
52,3.12,-0.36888816666666757,-0.020768333333333115,3.591666666666471e-05,-0.0006400666666665733
53,3.18,-0.683157833333334,0.049743833333333466,-9.714999999999343e-05,-0.0011012666666665833
54,3.24,-0.883059166666668,0.12265383333333348,-0.00022496666666665165,-0.00143854999999991
55,3.3,-0.8423796666666675,0.14140016666666677,-0.0002506499999999833,-0.0014197999999999032
56,3.36,-0.7330421666666673,0.09033150000000013,-0.00016264999999997002,-0.0012256333333332413
57,3.42,-0.5758470000000006,0.07761783333333352,-0.00014139999999997996,-0.0009474499999999366
58,3.48,-0.36815000000000087,0.09120633333333338,-0.0001661833333333183,-0.0005768833333332366
59,3.54,-0.18368650000000047,0.0873150000000001,-0.00015914999999998996,-0.0002584833333332533
60,3.6,-0.119274333333334,0.06565350000000013,-0.00011614999999999006,-0.0001901833333332449
61,3.66,-0.19928166666666758,0.09629466666666674,-0.00018861666666664836,-0.0001775499999999263
62,3.72,0.17495599999999917,-0.0346259999999998,5.581666666663487e-05,0.00033559999999999845
63,3.78,0.4289976666666656,-0.13534066666666644,0.00023091666666658498,0.0007742833333333084
64,3.84,0.5671036666666659,-0.04330166666666649,6.726666666662492e-05,0.001047133333333315
65,3.9,0.7120233333333325,0.10448416666666677,-0.00019033333333331665,0.001306383333333325
66,3.96,0.687608999999999,0.1960350000000001,-0.0003473166666666534,0.0012489333333333215
67,4.02,0.5198381666666657,0.35412616666666696,-0.000623416666666655,0.0009706666666666616
68,4.08,0.5730409999999991,0.435255,-0.000764483333333325,0.0010640333333333315
69,4.14,0.7609176666666658,0.5054818333333336,-0.0008842833333333218,0.0013771999999999947
70,4.2,0.8840729999999994,0.5808378333333335,-0.00100884999999999,0.0015448666666666583
71,4.26,0.9058458333333329,0.7260843333333334,-0.0012776166666666334,0.001699933333333322
72,4.32,0.9993766666666654,0.7525400000000001,-0.0013103333333333118,0.0017705333333333099
73,4.38,1.0685136666666655,0.7354121666666668,-0.0012781166666666316,0.0018730499999999965
74,4.44,1.0395406666666662,0.6829723333333337,-0.0011954666666666584,0.001880583333333334
75,4.5,1.091269499999999,0.5434438333333335,-0.0009515166666666567,0.001958816666666642
76,4.56,1.1163189999999992,0.37990000000000007,-0.0006638833333333168,0.0019735999999999938
77,4.62,1.0109391666666658,0.27816666666666684,-0.0004917333333332884,0.0018245499999999882
78,4.68,0.9651306666666656,0.23087900000000014,-0.0004076999999999651,0.0017288499999999869
79,4.74,1.0168786666666663,0.07665616666666682,-0.0001389999999999851,0.0018112833333333183
80,4.8,0.9833308333333325,-0.05929449999999977,9.828333333329324e-05,0.00174209999999999
81,4.86,0.9083688333333323,-0.18846399999999983,0.00031241666666661166,0.0016999166666666536
82,4.92,1.0775393333333325,-0.4231564999999999,0.0007299333333332668,0.0019024999999999862
83,4.98,1.1112691666666656,-0.6186816666666666,0.0010676999999999432,0.001976533333333328
84,5.04,1.3377339999999998,-0.6820269999999998,0.0011762666666665846,0.0023824666666666583
85,5.1,1.6348741666666662,-0.7165106666666664,0.0012342499999999465,0.0029179333333333294
86,5.16,2.175926666666667,-0.8673803333333332,0.001498716666666597,0.003828949999999986
87,5.22,2.5363825,-0.8272446666666666,0.0014286666666666185,0.004460333333333329
88,5.28,2.4793859999999985,-0.6671864999999996,0.0011527166666666032,0.004341883333333334
89,5.34,2.4165496666666644,-0.5211454999999998,0.0008993333333332784,0.00423174999999999
90,5.4,2.6172364999999997,-0.4735471666666665,0.00081624999999992,0.004584233333333332
91,5.46,2.457761666666665,-0.3797654999999998,0.0006410666666665933,0.004429716666666667
92,5.52,2.645052666666665,-0.33107566666666643,0.0005747666666665867,0.004577533333333329
93,5.58,2.536061666666666,-0.3238309999999998,0.0005557166666666,0.004450566666666657
94,5.64,2.753738333333332,-0.36928983333333315,0.0006329333333332534,0.00484501666666666
95,5.7,3.115793333333332,-0.4459101666666665,0.00076446666666659,0.005489299999999995
96,5.76,3.5926374999999995,-0.48630366666666647,0.0008366166666666052,0.0062953666666666595
97,5.82,4.293819666666665,-0.47564066666666643,0.0008259499999999283,0.007430783333333327
98,5.88,4.104547833333332,-0.2376148333333332,0.0003962333333332516,0.007269516666666656
99,5.94,4.261892833333333,-0.13681583333333316,0.00022981666666659333,0.007458783333333329
100,6.0,4.5003565,-0.12717883333333313,0.00021789999999992994,0.007827766666666668
101,6.06,4.4963950000000015,-0.041608666666666426,5.48499999999864e-05,0.0079576
102,6.12,4.634717666666665,-0.029731499999999748,5.051666666665971e-05,0.0080442
103,6.18,4.5449383333333335,-0.02703816666666648,4.196666666666485e-05,0.0079258
104,6.24,4.627405499999997,-0.01078583333333316,9.499999999999787e-06,0.00810765
105,6.3,4.730870166666667,0.07428633333333345,-0.00014168333333332172,0.00831885
106,6.36,4.978555,0.04541816666666684,-8.288333333332345e-05,0.008669900000000001
107,6.42,5.198020333333333,-0.02678733333333313,3.6183333333329786e-05,0.009108799999999998
108,6.48,5.172831333333332,0.038895500000000124,-7.229999999999181e-05,0.0090135
109,6.54,4.936423166666665,0.23018066666666676,-0.0004059499999999683,0.008618433333333333
110,6.6,4.847167333333332,0.33097133333333356,-0.0005783333333333301,0.008442233333333334
111,6.66,4.766753333333332,0.34533433333333347,-0.0006211999999999801,0.008455683333333332
112,6.72,4.9666885,0.20059000000000007,-0.0003462166666666366,0.008595016666666667
113,6.78,4.826122333333333,0.0752255000000001,-0.00013301666666665335,0.008390483333333334
114,6.84,4.602518666666666,0.11818916666666682,-0.00021723333333331668,0.008089649999999999
115,6.9,4.516911166666665,0.2677065000000001,-0.0004742333333333134,0.007918066666666664
116,6.96,4.149336333333332,0.4387998333333335,-0.0007665166666666567,0.007239549999999989
117,7.02,3.690133499999999,0.4652933333333336,-0.0008131666666666583,0.006449649999999997
118,7.08,3.3571503333333323,0.40590800000000016,-0.0007105833333333117,0.005874199999999995
119,7.14,3.038696166666666,0.2953220000000002,-0.0005075333333333101,0.005230616666666654
120,7.2,2.280315999999999,0.19261400000000015,-0.00034083333333331995,0.004008333333333328
121,7.26,1.386015499999999,0.24666716666666694,-0.00045034999999997666,0.0025818166666666514
122,7.32,1.0327414999999993,0.1774015000000001,-0.0003064999999999799,0.0017808499999999916
123,7.38,0.7839563333333328,0.11802000000000015,-0.000207333333333315,0.0013785666666666534
124,7.44,0.6776991666666655,0.14435166666666677,-0.00025909999999999166,0.0012434666666666567
125,7.5,0.8732746666666654,0.13720166666666683,-0.000247166666666645,0.0015877166666666564
126,7.56,0.8679721666666657,0.16499716666666678,-0.0002879666666666533,0.0015186333333333216
127,7.62,0.711995666666666,0.2261798333333335,-0.00039979999999998836,0.0012920333333333303
128,7.68,0.49623099999999903,0.34873233333333353,-0.0006179499999999867,0.0009592333333333218
129,7.74,0.5456213333333321,0.4169210000000001,-0.0007285499999999916,0.000987516666666645
130,7.8,0.6839936666666655,0.45469183333333346,-0.0008112166666666416,0.00135281666666666
131,7.86,1.0846639999999996,0.42836433333333346,-0.0007547166666666516,0.0019696833333333135
132,7.92,1.5607773333333317,0.46866000000000013,-0.0008160666666666583,0.0027307499999999966
133,7.98,2.0082504999999986,0.4753856666666668,-0.0008252833333333151,0.0034883666666666604
134,8.04,2.2652426666666656,0.4502393333333336,-0.000791933333333315,0.004013849999999989
135,8.1,2.6570724999999995,0.4262205000000002,-0.0007475833333333282,0.004673083333333326
136,8.16,3.0266034999999984,0.45195300000000027,-0.0007916333333333117,0.005308199999999991
137,8.22,3.2345723333333325,0.4317878333333334,-0.0007518833333333199,0.005633383333333333
138,8.28,3.5804991666666655,0.3034586666666667,-0.0005297999999999817,0.006236866666666656
139,8.34,3.871680166666666,0.07099000000000008,-0.0001290333333333251,0.0067651999999999955
140,8.4,3.751890333333333,0.026690000000000123,-6.348333333332352e-05,0.006659199999999993
141,8.46,3.592352666666666,0.1251685000000001,-0.00022653333333331503,0.0063105166666666546
142,8.52,3.2571138333333325,0.24830983333333348,-0.00043623333333330834,0.005693249999999997
143,8.58,2.976307499999999,0.2407013333333335,-0.0004348833333333165,0.00530591666666666
144,8.64,2.6468204999999996,0.1960166666666668,-0.00035073333333330333,0.0046795666666666486
145,8.7,2.499765833333332,0.13090566666666678,-0.00022364999999998004,0.00430486666666666
146,8.76,2.109139999999999,-0.0644559999999998,9.139999999996324e-05,0.0038350666666666583
147,8.82,2.1987416666666655,-0.18997299999999984,0.0003201833333332534,0.003894849999999993
148,8.88,2.1113383333333315,-0.24402433333333315,0.00042786666666658175,0.003615783333333322
149,8.94,1.8151804999999994,-0.2669753333333331,0.00044571666666658676,0.0033044666666666484
150,9.0,1.924088166666666,-0.2280393333333332,0.00038723333333326004,0.0034099666666666554
151,9.06,1.721463999999999,-0.21742799999999982,0.00037379999999992495,0.0030123333333333248
152,9.12,1.4427098333333321,-0.25947033333333314,0.0004402499999999317,0.0025884499999999865
153,9.18,1.4928969999999993,-0.3350578333333332,0.0005699666666665867,0.002690116666666655
154,9.24,1.5773661666666656,-0.39475649999999995,0.0006774499999999098,0.002800366666666658
155,9.3,1.533049166666666,-0.3836464999999999,0.0006573833333332532,0.0027299999999999894
156,9.36,1.556630999999999,-0.33266333333333326,0.0005717499999999384,0.002745166666666655
157,9.42,1.4199316666666661,-0.17910649999999978,0.000304983333333255,0.00250966666666666
158,9.48,1.213507499999999,-0.10435283333333314,0.0001703666666665916,0.002194133333333323
159,9.54,0.941299499999999,0.002821500000000157,-1.7366666666665197e-05,0.0017348833333333184
160,9.6,0.7004466666666658,0.10509200000000013,-0.00018728333333331177,0.0012535666666666485
161,9.66,0.5004313333333327,0.1894681666666668,-0.0003358999999999866,0.0009239999999999935
162,9.72,0.45033133333333253,0.19482433333333352,-0.0003476333333333201,0.0008569499999999783
163,9.78,0.4470308333333323,0.20149266666666682,-0.00035663333333329995,0.0008299333333333085
164,9.84,0.23403483333333241,0.28918300000000025,-0.0005078333333333117,0.0004532166666666567
165,9.9,-0.018472333333334243,0.4334406666666668,-0.0007603666666666434,3.158333333333976e-05
166,9.96,-0.21822466666666754,0.5795708333333335,-0.001010216666666655,-0.0003428833333332433
167,10.02,-0.45745633333333424,0.7336008333333335,-0.0012757166666666452,-0.0007691333333332516
168,10.08,-0.8375455000000007,0.8720401666666666,-0.00152981666666664,-0.0013406833333332417
169,10.14,-1.0658886666666674,0.9135705000000004,-0.0015940999999999631,-0.0017871666666665904
170,10.2,-1.3624343333333349,0.8739063333333336,-0.00151951666666663,-0.00233726666666659
171,10.26,-1.8575135000000011,0.8827350000000002,-0.0015418833333333,-0.0031520666666665902
172,10.32,-2.142518400000001,0.9500088333333332,-0.0016585499999999733,-0.003647916666666595
173,10.38,-2.4052703333333345,0.980410666666667,-0.0017073333333333168,-0.004127716666666578
174,10.44,-2.7305455000000007,1.025403,-0.0017881833333332833,-0.0046765666666665736
175,10.5,-3.0702356666666675,1.1142056666666669,-0.0019435666666666315,-0.005259316666666584
176,10.56,-3.496801833333335,1.1092778333333335,-0.0019283499999999715,-0.0060367666666665985
177,10.62,-3.8476131666666675,1.0488373333333336,-0.0018286333333333116,-0.006616983333333269
178,10.68,-4.090049333333335,0.9828546666666668,-0.0017170166666666399,-0.007021716666666599
179,10.74,-4.371320833333334,0.8907158333333334,-0.0015666499999999813,-0.007455299999999955
180,10.8,-4.503825000000001,0.8981321666666667,-0.00155613333333331,-0.00781639999999992
181,10.86,-4.858203333333334,0.8896273333333335,-0.001549049999999968,-0.00838913333333325
182,10.92,-5.2735840000000005,0.8655878333333334,-0.0015129833333333098,-0.009078983333333259
183,10.98,-5.611236000000001,0.8471020000000001,-0.0014793999999999714,-0.009672266666666601
184,11.04,-5.834931166666667,0.7334421666666667,-0.0012768333333333082,-0.010090766666666586
185,11.1,-6.099966166666667,0.6072723333333336,-0.0010626999999999933,-0.010523533333333307
186,11.16,-6.350773500000002,0.49400883333333356,-0.0008673666666666515,-0.010950949999999906
187,11.22,-6.540133666666668,0.3395598333333334,-0.0005956333333333184,-0.011301433333333265
188,11.28,-6.8451086666666665,0.21767283333333345,-0.00038089999999997505,-0.01184951666666658
189,11.34,-7.187918999999999,0.1592471666666668,-0.00029073333333331,-0.0123781166666666
190,11.4,-7.534960666666667,0.11147766666666682,-0.00020604999999997332,-0.012990549999999922
191,11.46,-7.949230166666668,0.1445300000000001,-0.000253283333333305,-0.0137692166666666
192,11.52,-8.6366205,0.36671116666666675,-0.00064549999999999,-0.014924983333333254
193,11.58,-9.294966666666665,0.5408971666666669,-0.0009480833333333183,-0.016067233333333267
194,11.64,-9.854851,0.6407598333333334,-0.0011226499999999933,-0.017033949999999944
195,11.7,-10.379701500000003,0.6689960000000001,-0.00116686666666665,-0.017967283333333268
196,11.76,-11.036440999999998,0.6625811666666669,-0.0011593833333333186,-0.019090916666666614
197,11.82,-11.638767833333333,0.6598298333333334,-0.0011544333333333185,-0.02013718333333327
198,11.88,-12.341163666666667,0.6244128333333333,-0.0010880666666666634,-0.02137731666666661
199,11.94,-13.055551833333332,0.6917188333333335,-0.001201116666666645,-0.022631383333333255
200,12.0,-14.098212333333333,0.7452990000000003,-0.0013096333333332951,-0.024382799999999927
201,12.06,-15.205751500000002,0.7842135000000002,-0.00136754999999997,-0.02633931666666659
202,12.12,-16.454261833333334,0.7789095000000003,-0.0013533333333332947,-0.028523149999999924
203,12.18,-17.48140333333333,0.8169706666666668,-0.0014285499999999532,-0.030277766666666595
204,12.24,-18.277369333333336,0.8711456666666669,-0.001519316666666635,-0.031668966666666624
205,12.3,-19.090783166666668,0.9097445000000002,-0.001587883333333303,-0.033076866666666635
